gene	SRX007811	SRX008015	SRX008027	SRX008025	SRX008010	SRX008005	SRX008018	SRX008007	SRX008006	SRX008020	SRX008011	SRX008019	SRX008026	SRX008008	SRX008009	SRX008029	SRX008014	SRX008156	SRX008023	SRX008016	SRX008013	SRX008022	SRX008024	SRX008012	SRX008028	SRX008021	SRX008171	SRX008155	SRX008017	SRX008157
FBgn0031141	4	0	3	4	6	11	12	54	466	3220	6596	13880	7410	9308	2851	1497	176	77	25	1	2529	985	783	1497	2107	1665	15	38	1689	23
FBgn0031142	9	75	186	186	144	178	198	84	62	69	45	144	78	82	37	127	354	680	1272	1708	39	18	25	3001	4846	3657	2347	2665	1814	706
FBgn0031143	5132	1550	1374	1139	1749	3535	3650	1669	1535	1372	1135	2697	3121	8287	1770	3543	3194	7257	4533	2672	4653	4075	3831	3593	4131	3274	2780	2617	1436	10333
FBgn0031144	3870	1441	5352	3267	2460	2419	2461	1346	982	1021	606	1141	1308	1485	542	561	839	1463	1496	1610	2321	2141	2032	684	885	654	1206	924	579	1625
FBgn0031145	1426	2351	5077	2114	1782	1443	1827	411	558	467	413	957	741	1652	655	604	535	980	1491	1086	634	964	1122	434	267	286	671	660	328	1089
FBgn0031146	67	225	782	178	124	76	158	56	56	43	63	115	55	118	34	55	79	247	937	660	77	58	79	178	157	140	321	1114	122	241
FBgn0031148	13521	13195	8887	4883	6954	19125	15476	16401	8696	4972	8765	13620	25207	23347	13116	1786	1607	2908	3228	9229	12655	9241	8115	2442	3210	2195	12560	4396	1967	3336
FBgn0031149	21023	23647	36270	14692	16916	23541	23280	13592	8168	4164	3718	7818	12499	15007	4963	5803	7664	14846	12696	16122	16386	12980	12925	2707	4875	2860	9266	4276	3437	17446
FBgn0031150	3238	685	1824	2368	4017	4924	8379	3975	3806	2720	865	2107	1760	2383	610	331	598	1601	4657	3558	2908	2428	2456	1822	2387	1606	4135	3273	1459	3289
FBgn0031155	4	5	15	0	4	4	11	6	8	8	5	16	10	18	29	86	184	392	637	787	2	1	2	1007	1702	1378	1144	1116	567	389
FBgn0031157	1495	1754	1239	267	441	556	512	461	298	204	165	377	17	17	17	109	237	433	790	1038	565	735	621	1649	2939	2163	1425	1544	1009	419
